# Direct brain oscillations (no synthetic overlay)
t,motor,sensory,thalamus,cerebellum,parietal,pfc,limbic,hippocampus,insula,basal_ganglia,Ch1,Ch2,Ch3,Ch4,Ch5,Ch6,Ch7,Ch8,Ch9,Ch10
234,1.411711573600769,-0.054753731936216354,-0.003376969136297703,0.5,1.118449091911316,15.042075157165527,-0.5458575487136841,0.0011971932835876942,0.0010000000474974513,-0.004996223840862513,51.06452560424805,44.131778717041016,42.04597091674805,11.316452980041504,-11.121216773986816,29.64683723449707,-39.5955696105957,-46.2384147644043,-24.77086639404297,-53.51542663574219
235,1.963605523109436,-0.05297049880027771,-0.0033100100699812174,0.5,-0.20381537079811096,14.124796867370605,-0.6514731645584106,0.0011944115394726396,0.0010000000474974513,-0.004959836136549711,56.00210952758789,42.304569244384766,35.06251525878906,9.399301528930664,-11.735299110412598,25.188018798828125,-36.22642517089844,-50.82227325439453,-14.972957611083984,-51.1622428894043
236,0.9734813570976257,-0.05303309112787247,-0.0032443790696561337,0.5,-0.16533632576465607,14.185589790344238,0.695609450340271,0.0012243269011378288,0.0010000000474974513,-0.004744642414152622,53.689353942871094,35.206451416015625,36.536808013916016,9.648665428161621,-13.549854278564453,27.579469680786133,-34.05847930908203,-48.56719207763672,-17.905092239379883,-50.18838882446289
237,1.418877363204956,-0.054745230823755264,-0.003180049592629075,0.5,1.1108287572860718,13.398898124694824,0.5233287215232849,0.0012211587745696306,0.0010000000474974513,-0.0047057210467755795,45.035987854003906,37.340057373046875,35.30440902709961,10.32253646850586,-9.838777542114258,27.78217124938965,-32.78609085083008,-45.36591720581055,-20.664583206176758,-44.8880615234375
238,1.9602837562561035,-0.05296928808093071,-0.0031169955618679523,0.5,-0.20681580901145935,14.778287887573242,-0.7815970778465271,0.001190878334455192,0.0010000000474974513,-0.00467028608545661,51.31732177734375,39.20497512817383,38.40373611450195,5.922572612762451,-9.744771957397461,25.652843475341797,-37.50701141357422,-48.3242301940918,-24.758806228637695,-45.03363037109375
239,0.9696741104125977,-0.05301733687520027,-0.003055191831663251,0.5,-0.177407369017601,15.157170295715332,-0.3528468906879425,0.0012020801659673452,0.0010000000474974513,-0.0044674924574792385,50.71736526489258,41.65884780883789,38.03071594238281,14.4312744140625,-15.860899925231934,28.695173263549805,-40.529441833496094,-51.580162048339844,-15.217570304870605,-48.35835647583008
240,1.4260497093200684,-0.054736681282520294,-0.0029946137219667435,0.5,1.1033093929290771,15.55416202545166,0.8797609210014343,0.0012275059707462788,0.0010000000474974513,-0.004432108253240585,51.8566780090332,40.457401275634766,43.81605911254883,10.476212501525879,-5.302901268005371,25.449874877929688,-40.82152557373047,-52.214359283447266,-22.88688087463379,-51.43602752685547
241,1.956880807876587,-0.052968088537454605,-0.0029352367855608463,0.5,-0.20966726541519165,16.6497745513916,0.17738191783428192,0.001214224030263722,0.0010000000474974513,-0.004397634416818619,52.330020904541016,41.797847747802734,45.02579116821289,13.89918327331543,-12.830148696899414,27.037307739257812,-42.94158935546875,-54.30158996582031,-27.02825164794922,-55.95555877685547
242,0.9659423828125,-0.053001608699560165,-0.002877037040889263,0.5,-0.18932487070560455,17.095291137695312,-0.8870958685874939,0.0011879270896315575,0.0010000000474974513,-0.0042065405286848545,55.57063293457031,43.172943115234375,48.99589157104492,15.268157005310059,-11.190363883972168,28.527860641479492,-38.215694427490234,-56.06746292114258,-24.115955352783203,-58.43564987182617
243,1.4332274198532104,-0.05472809821367264,-0.002819991437718272,0.5,1.09589421749115,15.578402519226074,0.009127338416874409,0.0012105712667107582,0.0010000000474974513,-0.004174406640231609,55.458473205566406,42.99663543701172,46.29520034790039,7.330113410949707,-14.488128662109375,29.766141891479492,-39.21540451049805,-47.469627380371094,-18.0859432220459,-50.3641242980957
244,1.9533967971801758,-0.052966900169849396,-0.002764077391475439,0.5,-0.2123672217130661,15.640847206115723,0.9151853919029236,0.001228093053214252,0.0010000000474974513,-0.004140892997384071,53.05099105834961,42.28646469116211,40.95198440551758,15.216756820678711,-6.635350704193115,27.867691040039062,-39.00776290893555,-46.74504470825195,-21.159902572631836,-51.341590881347656
245,0.9622864723205566,-0.05298590287566185,-0.002709271851927042,0.5,-0.20108801126480103,13.69632339477539,-0.19396762549877167,0.0012059144210070372,0.0010000000474974513,-0.00396084226667881,49.3114128112793,37.09059143066406,41.225555419921875,7.96530818939209,-8.575438499450684,30.398014068603516,-34.421321868896484,-46.972415924072266,-22.59197998046875,-53.190303802490234
246,1.4404096603393555,-0.0547194741666317,-0.002655553165823221,0.5,1.088582992553711,12.507810592651367,-0.8467548489570618,0.001189064816571772,0.0010000000474974513,-0.0039316886104643345,39.008216857910156,31.761737823486328,32.212520599365234,3.269050121307373,-8.082132339477539,28.028032302856445,-32.82234191894531,-48.55628204345703,-16.4437255859375,-49.302181243896484
